product,region,farming_type,n,d13C_mean,d13C_sd,d15N_mean,d15N_sd,wtN_mean,wtN_sd,wtC_mean,wtC_sd,CN_molar_mean,CN_molar_sd
A,Bavaria,Organic,4,-28.435486518020006,0.38914482213714713,7.5567949500000005,0.708686091520877,1.7449106228296414,0.23967484747428677,34.68584426648246,2.5339162232504155,23.394227527082787,2.41973813489744
B,Almeria,Organic,12,-28.72427015941334,0.836792485057269,4.541949775,0.4377463634112029,2.2312667199970964,0.963168042355155,37.81732370225773,4.239559872260545,23.74225128870075,13.25043041628245
C,Bavaria,Conventional,4,-30.257710564560007,0.4693173665867233,0.50576045,0.5402135507373449,1.6221436849713957,0.12309475158568259,37.62837895341671,1.7317275235529155,27.22516246907613,3.0999898673852764
D,Bavaria,Conventional,3,-29.65190073497334,2.785045495744447,0.5914304333333333,0.8561050313852229,1.5853681867895186,0.06976663544398642,36.89399736501988,0.9975369182303921,27.153328956913725,0.5233912025177917
E,Bavaria,Conventional,4,-32.275716089860005,0.3404479179653494,0.45477049999999997,0.5204727423265506,2.2732980377938894,0.11130933573449939,39.402245010993134,0.7272456224095266,20.2408838736241,0.8073826558223427
F,Bavaria,Conventional,4,-30.878721179330007,0.17477142183506303,-0.8137976499999999,0.5283094253904398,1.680710728570103,0.0703705105395505,35.774164748584425,1.0161658647346088,24.839100907344992,0.7299477906693599
G,Bavaria,Organic,4,-30.810339708895004,0.8031840922384016,6.877959049999999,0.8199477373723135,1.6853160028580068,0.5546754484126268,38.50254162273684,4.536405114399686,29.911670236536352,14.502363889002881
H,Bavaria,Organic,4,-28.665257644880008,0.16757102635073048,7.58975815,0.5306374957724059,1.4622897401752109,0.14597813998427028,34.4441905415411,1.774826090236944,27.753869373274302,4.01290405353136
I,Bavaria,Organic,4,-29.202990371240006,0.29850014637656624,3.0377462499999996,0.7908209933302414,1.7255292353847178,0.31068926585733214,36.798552735839955,1.6981905695768995,25.463870343742492,4.660587774686467
J,Souss-Massa,Conventional,9,-29.622587179617785,0.38400258747322163,-0.21055964444444442,0.8478782829747147,1.3785852660024478,0.5265708480700735,50.13378205606588,1.2996263403068131,45.60503346315433,9.5367019241372
