product,region,farming_type,n,d13C_mean,d13C_sd,d15N_mean,d15N_sd,wtN_mean,wtN_sd,wtC_mean,wtC_sd,CN_molar_mean,CN_molar_sd
A,Bavaria,Organic,4,-28.435,0.389,7.557,0.709,1.745,0.24,34.686,2.534,23.394,2.42
B,Almeria,Organic,12,-28.724,0.837,4.542,0.438,2.231,0.963,37.817,4.24,23.742,13.25
C,Bavaria,Conventional,4,-30.258,0.469,0.506,0.54,1.622,0.123,37.628,1.732,27.225,3.1
D,Bavaria,Conventional,3,-29.652,2.785,0.591,0.856,1.585,0.07,36.894,0.998,27.153,0.523
E,Bavaria,Conventional,4,-32.276,0.34,0.455,0.52,2.273,0.111,39.402,0.727,20.241,0.807
F,Bavaria,Conventional,4,-30.879,0.175,-0.814,0.528,1.681,0.07,35.774,1.016,24.839,0.73
G,Bavaria,Organic,4,-30.81,0.803,6.878,0.82,1.685,0.555,38.503,4.536,29.912,14.502
H,Bavaria,Organic,4,-28.665,0.168,7.59,0.531,1.462,0.146,34.444,1.775,27.754,4.013
I,Bavaria,Organic,4,-29.203,0.299,3.038,0.791,1.726,0.311,36.799,1.698,25.464,4.661
J,Souss-Massa,Conventional,9,-29.623,0.384,-0.211,0.848,1.379,0.527,50.134,1.3,45.605,9.537
