identifier,d13C_permil,d15N_permil,wtN_percent,wtC_percent,product,region,farming_type
A1,-28.112030217420003,7.922995500000001,1.8657382978723407,34.0442,A,Bavaria,Organic
A2,-28.519272364800006,7.529497300000001,1.4642021148036253,33.69403423967774,A,Bavaria,Organic
A3,-28.15912982928001,8.1980322,1.6429794312796209,32.627444170616116,A,Bavaria,Organic
A4,-28.951513660580005,6.5766548,2.0067226473629787,38.37769865563599,A,Bavaria,Organic
B1,-29.276517434880006,4.607103599999999,2.138177743902439,36.339863414634145,B,Almeria,Organic
B2,-27.610037120500007,4.294983299999999,1.0233993865030675,36.19025854513584,B,Almeria,Organic
B3,-26.804461830960005,3.3751040000000003,0.6921093994778067,35.44412114882506,B,Almeria,Organic
B4,-28.463933210540006,4.4680401,2.465644008483563,38.330392152704135,B,Almeria,Organic
C1,-29.825287032380004,1.0439877,1.7832887573964495,35.381657396449704,C,Bavaria,Conventional
C2,-29.889664088280007,0.8894727,1.4969227180527382,38.2726,C,Bavaria,Conventional
C3,-30.563203987020007,0.1271987,1.6439538461538459,37.36900246153846,C,Bavaria,Conventional
C4,-30.752687150560003,-0.037617299999999965,1.5644094182825488,39.49025595567866,C,Bavaria,Conventional
D1,-32.81438456942001,-0.2189148999999999,1.5061194258373205,35.7453257416268,D,Bavaria,Conventional
D2,-27.565188332940004,1.4869307,1.6124582608695652,37.54246164251207,D,Bavaria,Conventional
D3,-28.576129302560005,0.5062754999999999,1.6375268736616702,37.39420471092077,D,Bavaria,Conventional
E1,-31.98578299408001,0.4702219999999999,2.1304749999999997,38.4538237037037,E,Bavaria,Conventional
E2,-32.53613487448,0.1035064,2.345013008937438,39.21298669314797,E,Bavaria,Conventional
E3,-32.60304296874,1.1851114,2.376304531722054,39.925371399798586,E,Bavaria,Conventional
E4,-31.977903522140004,0.060242200000000024,2.241399610516066,40.01679824732229,E,Bavaria,Conventional
F1,-30.916866278060006,-1.1799982,1.7127784403669721,36.58956165137614,F,Bavaria,Conventional
F2,-30.854774139000003,-1.1151019,1.7618759219088935,36.061203904555306,F,Bavaria,Conventional
F3,-30.660073281140008,-0.0386474,1.644454213483146,36.1564436329588,F,Bavaria,Conventional
F4,-31.083171019120005,-0.9214431,1.6037343385214007,34.28944980544746,F,Bavaria,Conventional
G1,-30.056853187780003,7.290514099999999,1.6208492581602376,35.16033491592483,G,Bavaria,Organic
G2,-30.754012562040007,6.244962599999999,2.388157486136784,36.311566358595186,G,Bavaria,Organic
G3,-30.495350618220005,6.1450429,1.6986126888217523,37.36668821752266,G,Bavaria,Organic
G4,-31.935142467540004,7.831316599999999,1.033644578313253,45.171576998904705,G,Bavaria,Organic
H1,-28.459839341480006,7.3626211,1.3788517343904858,33.269839048562936,H,Bavaria,Organic
H2,-28.798683048940006,7.3214171,1.581980421686747,33.70016847389558,H,Bavaria,Organic
H3,-28.805296489800007,8.3844803,1.5890495019920319,33.718551792828684,H,Bavaria,Organic
H4,-28.597211699300008,7.290514099999999,1.2992773026315787,37.088202850877195,H,Bavaria,Organic
I1,-29.441500143000006,3.0207496000000003,1.586719251336898,35.85196969696969,I,Souss-Massa,Conventional
I2,-29.447603321940008,3.6542610999999994,1.3730571008814887,37.32945915768855,I,Souss-Massa,Conventional
I3,-28.831273674340004,1.9267834,1.8584769441903017,35.08450667886551,I,Souss-Massa,Conventional
I4,-29.091584345680005,3.5491908999999993,2.0838636451301835,38.92827540983607,I,Souss-Massa,Conventional
J1,-29.774526209340003,-0.32707539999999996,1.1673336179295621,50.96511824973319,J,Souss-Massa,Conventional
J2,-30.09582608000001,-0.37239979999999995,1.3496414486921529,51.3215291750503,J,Souss-Massa,Conventional
J3,-29.717205694940006,-0.8215234,1.1026125,49.911681249999994,J,Souss-Massa,Conventional
J4,-28.687715619300004,-0.010834699999999975,2.769590322580645,50.11325806451613,J,Souss-Massa,Conventional
B1,-29.276517434880006,4.607103599999999,2.138177743902439,36.339863414634145,B,Almeria,Organic
B1,-29.263803784100006,4.7523477,2.2029986842105265,36.3300625,B,Almeria,Organic
B1,-29.282642216000006,4.6987825,2.1774393879565648,36.91601184600198,B,Almeria,Organic
B1,-29.535618793660007,4.6081337,2.1175099601593623,36.90816155378486,B,Almeria,Organic
B1,-29.225713100340005,4.7214447,2.2552926605504586,35.210078715596325,B,Almeria,Organic
B4,-28.463933210540006,4.4680401,2.465644008483563,38.330392152704135,B,Almeria,Organic
B4,-28.23591493166001,4.6153444,2.375246900826446,36.52774194214876,B,Almeria,Organic
B4,-29.252148844900006,5.2869696,4.7235607555089185,50.9409370409234,B,Almeria,Organic
J1,-29.764239988360004,1.9319339,1.1483037962037963,46.999134065934065,J,Souss-Massa,Conventional
J1,-29.774526209340003,-0.32707539999999996,1.1673336179295621,50.96511824973319,J,Souss-Massa,Conventional
J1,-29.610982759260008,-0.3991824,1.2046421215242018,50.17658722966014,J,Souss-Massa,Conventional
J1,-29.634746795340007,-0.7926806,1.2403363357215966,49.773936335721594,J,Souss-Massa,Conventional
J1,-29.543515260680003,-0.776199,1.2574736334405143,50.97767588424437,J,Souss-Massa,Conventional
